source,term,term_id,padj,term_size,intersection_size,query_size,ratio,-log10(padj)
GO:CC,R2TP complex,GO:0097255,0.04307541825292276,4,2,372,0.005376344086021506,1.3657704969546982
GO:BP,ribosome assembly,GO:0042255,0.04322274378004495,60,7,349,0.02005730659025788,1.3642876675612776
GO:BP,ribosomal large subunit assembly,GO:0000027,0.044365774533481526,19,4,349,0.011461318051575931,1.3529519322070067
GO:BP,mitotic G2/M transition checkpoint,GO:0044818,0.044365774533481526,19,4,349,0.011461318051575931,1.3529519322070067
GO:BP,cell cycle G2/M phase transition,GO:0044839,0.044365774533481526,45,6,349,0.017191977077363897,1.3529519322070067
GO:BP,fusome organization,GO:0045478,0.044365774533481526,19,4,349,0.011461318051575931,1.3529519322070067
GO:MF,monocarboxylic acid binding,GO:0033293,0.045504933468302436,11,3,355,0.008450704225352112,1.3419415162679162
GO:MF,"catalytic activity, acting on DNA",GO:0140097,0.045504933468302436,143,11,355,0.030985915492957747,1.3419415162679162
GO:MF,catalytic activity,GO:0003824,0.045504933468302436,4113,147,355,0.4140845070422535,1.3419415162679162
GO:MF,protein binding,GO:0005515,0.046595820737391026,3828,138,355,0.38873239436619716,1.3316530342130846
GO:BP,response to temperature stimulus,GO:0009266,0.04941444480150163,135,11,349,0.03151862464183381,1.3061460798093154
GO:BP,"synaptic transmission, cholinergic",GO:0007271,0.04941444480150163,32,5,349,0.014326647564469915,1.3061460798093154
