"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"foi",1348,1106,2626,1232,2540,2951,3934,4261
"form3",209,222,401,179,1175,1248,1019,1071
"FoxL1",6,2,8,2,8,5,9,19
"foxo",1174,1031,2162,1111,4756,4921,3838,4118
"Fpgs",11,10,18,13,49,76,62,60
"fra",420,413,822,356,1531,1432,2458,2474
"frac",0,0,0,0,1,0,2,0
"fray",1672,1380,2999,2126,3980,4399,4000,4171
"frj",117,123,229,108,257,281,251,293
"Frl",4743,4161,8582,4674,10085,11063,12076,11775
"Frq1",1,1,0,1,2,4,3,1
"Frq2",38,52,78,56,76,112,30,31
"fs(1)K10",181,124,289,136,230,255,305,401
"fs(1)N",6,1,3,4,4,7,8,13
"fs(1)Ya",6,11,14,8,37,47,46,43
"fs(1)Yb",129,139,240,127,262,249,252,257
"Fs(2)Ket",1730,1478,3167,1619,3449,3807,3365,3387
"fsd",51,55,115,60,151,143,178,170
"ftz",0,0,0,0,0,0,0,0
"fu",275,262,513,265,543,560,705,658
"FucTA",1,2,4,2,8,6,10,10
"FucTD",29,29,71,32,32,26,80,89
"Fum1",194,149,383,188,536,619,760,774
"Fum2",28,30,61,37,90,81,113,130
"Fur2",228,215,441,254,986,958,972,882
"futsch",48,41,101,45,88,81,92,76
"fz",789,866,1514,709,2351,2526,2085,2352
"fz3",68,71,138,73,50,49,85,81
"fzr2",99,74,164,88,190,256,299,311
"fzy",391,295,731,339,689,684,750,713
"G9a",337,294,622,318,792,930,1060,1112
"GABA-B-R1",0,1,0,0,1,3,1,3
"GABA-B-R3",1,0,0,0,6,8,2,7
"GABPI",123,100,252,120,233,251,380,369
"Gadd45",2769,2518,4592,2749,4283,4331,4286,4305
"Gagr",8,6,11,7,58,55,38,40
"Gale",3768,3985,6318,3234,7624,8016,7697,8400
"galectin",755,711,1466,795,4829,5291,4591,4927
"galene",0,0,0,0,1,0,3,0
"galla-1",353,346,637,335,924,1009,1182,1361
"Galphao",137,96,241,113,231,197,317,322
"Galphaq",731,622,1459,706,1595,1663,1770,1826
"Galphas",230,208,458,245,733,811,1012,1220
"gammaCOP",725,716,1319,698,1104,1453,1318,1431
"gammaTub23C",111,104,211,106,388,378,493,524
"GAPcenA",307,252,565,283,654,765,671,720
"Gapdh2",387,343,757,371,1982,2259,2337,2443
"Gapvd1",294,267,527,258,803,866,870,995
"garz",747,637,1253,675,1125,1344,1373,1556
"gas",285,289,563,280,1178,1375,1215,1276
"Gasz",48,43,93,48,162,204,217,242
"Gat",4,4,5,2,25,29,19,32
"GATAd",445,368,802,418,1165,1254,1307,1460
"GATAe",26,28,58,21,49,52,51,49
"Gba1a",0,1,1,0,0,0,1,0
"Gba1b",2,3,1,0,1,5,4,3
"gbb",287,226,449,215,494,548,650,631
"Gbeta13F",475,386,862,426,1053,1068,1091,1193
"Gbeta76C",0,0,0,0,5,1,0,1
"Gbp2",26,30,52,33,231,302,181,209
"GC1",142,144,277,140,439,421,355,347
"GC2",18,23,42,9,42,49,54,34
"GCC185",204,166,349,202,378,429,426,427
"gce",538,560,1163,599,2485,2695,2274,2099
"GckIII",244,214,402,242,525,560,510,573
"gcl",285,229,495,227,1267,1295,1233,1262
"gcm2",1,0,0,1,1,0,1,2
"Gcn2",203,221,380,217,494,552,544,624
"Gdap1",1,2,1,0,4,4,5,5
"gdl",120,108,210,144,175,213,239,311
"gdl-ORF39",78,68,167,93,147,185,194,270
"Gdn1",182,157,370,182,503,612,514,562
"geko",123,76,202,125,1053,1146,1156,1313
"Gel",1230,1280,2182,1115,4071,4299,3662,3739
"gem",1115,1269,2122,1066,3653,3636,4109,4268
"Gem4b",44,29,83,46,90,94,101,104
"Gem4c",36,34,87,31,87,87,107,104
"Gfat1",2,1,1,4,0,2,1,3
"Gga",135,111,274,127,274,295,285,315
"Ggamma1",366,311,648,375,821,844,996,1070
"Ggamma30A",48,56,72,40,50,46,32,47
"gig",299,272,559,302,546,624,620,626
"GIIIspla2",228,220,425,238,582,598,625,700
"GILT3",122,141,211,111,332,345,206,251
"Girdin",367,336,710,358,628,695,759,751
"gish",1342,1150,2542,1318,4616,4933,4505,4441
"Gk2",278,227,498,283,978,925,989,943
"gkt",53,35,102,54,196,233,445,462
"GlcAT-I",119,104,205,129,213,267,254,275
"GlcAT-S",1125,1512,2252,1342,2820,2634,2936,3121
"GlcT",1032,1134,2090,1049,2804,2906,3124,3110
"Gld2",0,0,0,0,3,4,4,4
"Gle1",142,147,260,140,245,219,271,337
"glob3",25,23,59,19,25,33,23,27
"Glos",123,123,248,127,287,346,333,367
"Glt",71,61,133,56,1415,1686,473,459
"GluClalpha",57,38,91,35,169,139,199,190
"GluRIA",0,0,2,0,1,1,3,1
"GluRIB",24,11,65,35,93,94,103,88
"GluRIIA",12,10,13,11,32,41,9,13
"GluRIIB",0,0,2,0,8,11,1,0
"GluRIIC",0,0,0,0,0,0,0,0
"Glut1",2,2,7,4,43,38,47,44
"Glut3",0,0,0,0,0,0,0,0
"Glut4EF",2866,2758,5044,2903,10811,11284,9544,9440
"GlyP",318,275,556,245,1532,1703,1517,1873
"GlyRS",480,450,914,475,1061,1294,1317,1601
"GlyT",0,0,1,0,2,3,1,2
"Gmap",716,698,1448,748,2772,2951,3061,2864
"GNBP1",132,112,233,107,312,399,325,379
"GNBP3",403,457,853,441,1422,1386,1388,1265
"Gnf1",397,366,782,387,683,746,767,796
"Gnmt",32,24,88,36,263,265,308,287
"Gnpnat",167,174,269,135,439,559,778,708
"gny",123,127,183,88,275,338,372,350
"gom",2,12,12,8,19,11,14,14
"Gos28",208,197,391,226,563,648,570,651
"Got1",247,231,491,194,1069,1332,1417,1449
"Gp150",1050,1110,1924,1158,4433,4432,3379,3179
"Gp210",1134,1106,2218,1234,2436,2595,2362,2504
"Gp93",2344,2396,4478,2461,3827,4347,4100,4310
"Gpat4",242,170,417,198,748,804,1197,1221
"Gpdh1",640,751,1123,687,1945,2123,2136,2176
"Gpdh3",66,52,130,58,150,127,136,158
"Gpo2",240,235,410,229,779,917,902,973
"Gpo3",0,0,0,0,0,0,0,0
"gpp",1126,994,2247,1147,3207,3410,3444,3718
"Gprk2",3564,3286,6755,3693,7380,7626,8513,8098
"gprs",0,0,1,0,2,0,0,0
"Gr21a",0,0,0,0,0,0,0,0
"Gr22e",0,0,0,0,0,0,0,0
"Gr23a",0,0,0,0,0,1,1,0
"Gr2a",0,3,3,1,4,1,4,4
"Gr32a",10,9,12,1,37,29,34,29
"Gr33a",0,0,0,0,0,0,0,0
"Gr36a",0,0,0,0,0,0,0,1
"Gr36b",0,0,0,0,0,0,0,0
"Gr36c",0,0,0,0,0,0,0,0
"Gr39a",11,8,32,6,45,40,56,74
"Gr47a",0,0,0,0,0,0,0,0
