"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"lncRNA:CR44928",0,2,1,0,0,3,3,2
"lncRNA:CR44929",0,0,0,0,6,5,0,0
"lncRNA:CR44931",0,0,0,0,0,0,0,1
"lncRNA:CR44937",0,0,0,0,2,0,0,1
"lncRNA:CR44938",9,13,17,5,53,61,30,53
"lncRNA:CR44943",25,29,63,29,107,133,132,99
"lncRNA:CR44947",0,0,0,0,0,0,0,0
"lncRNA:CR44949",2,1,1,1,4,15,21,19
"lncRNA:CR44950",0,0,0,0,0,0,0,0
"lncRNA:CR44953",434,523,955,553,2653,2422,3978,3140
"lncRNA:CR44955",0,0,0,0,0,0,0,1
"lncRNA:CR44957",36,31,93,41,91,90,102,83
"lncRNA:CR44964",0,0,0,0,1,5,5,9
"lncRNA:CR44977",36,30,39,28,114,124,177,181
"lncRNA:CR44978",0,0,0,0,0,0,0,0
"lncRNA:CR44980",0,0,0,3,4,0,2,1
"lncRNA:CR45003",0,0,0,0,0,0,0,0
"lncRNA:CR45025",0,0,0,0,0,0,1,0
"lncRNA:CR45029",4,5,6,2,9,6,4,9
"lncRNA:CR45048",42,25,80,45,112,157,77,85
"lncRNA:CR45082",164,138,319,166,375,414,432,427
"lncRNA:CR45109",459,453,926,490,3120,3085,3476,3343
"lncRNA:CR45127",0,0,0,0,0,3,4,1
"lncRNA:CR45166",3,8,22,11,16,22,13,11
"lncRNA:CR45174",4,6,14,2,44,33,13,4
"lncRNA:CR45184",1107,948,1886,1052,1017,1072,1127,998
"lncRNA:CR45193",0,0,0,0,0,0,1,0
"lncRNA:CR45204",92,78,248,107,289,241,297,281
"lncRNA:CR45217",135,108,246,126,341,388,379,473
"lncRNA:CR45223",0,1,0,0,1,3,1,2
"lncRNA:CR45224",0,0,2,0,1,0,1,0
"lncRNA:CR45225",14,16,22,8,28,38,33,38
"lncRNA:CR45232",2,5,5,1,25,16,16,22
"lncRNA:CR45278",0,0,0,0,1,0,0,0
"lncRNA:CR45283",0,0,0,0,0,0,0,0
"lncRNA:CR45284",0,0,0,0,0,0,0,1
"lncRNA:CR45286",0,0,0,0,0,0,0,0
"lncRNA:CR45303",0,0,0,0,0,0,0,0
"lncRNA:CR45311",0,1,0,0,0,0,0,0
"lncRNA:CR45312",0,0,1,0,0,0,0,0
"lncRNA:CR45314",0,0,2,0,2,3,1,0
"lncRNA:CR45319",0,0,0,0,0,0,0,0
"lncRNA:CR45324",7,9,18,5,25,31,14,21
"lncRNA:CR45362",0,0,0,0,1,0,0,0
"lncRNA:CR45363",18,13,23,18,45,41,123,113
"lncRNA:CR45377",0,1,0,0,1,0,1,1
"lncRNA:CR45378",4,2,5,2,1,1,3,3
"lncRNA:CR45409",53,51,112,62,210,253,251,226
"lncRNA:CR45473",0,0,0,0,0,0,0,0
"lncRNA:CR45482",0,0,0,0,0,0,0,0
"lncRNA:CR45504",0,0,0,0,0,0,0,0
"lncRNA:CR45521",0,0,0,0,0,0,0,0
"lncRNA:CR45551",58,63,147,71,464,488,222,251
"lncRNA:CR45552",0,0,0,1,1,2,0,1
"lncRNA:CR45558",1,0,0,0,1,1,3,3
"lncRNA:CR45573",0,0,0,0,0,0,0,0
"lncRNA:CR45576",0,0,0,0,0,0,0,0
"lncRNA:CR45593",6,8,12,5,20,19,19,30
"lncRNA:CR45613",0,0,2,0,0,2,1,0
"lncRNA:CR45668",194,219,434,219,1089,1066,1011,1090
"lncRNA:CR45679",1,0,5,0,10,8,22,11
"lncRNA:CR45693",0,0,0,0,2,6,13,11
"lncRNA:CR45706",0,0,0,0,0,1,42,26
"lncRNA:CR45732",15,10,30,17,31,46,35,35
"lncRNA:CR45803",0,0,0,0,0,0,0,0
"lncRNA:CR45821",0,0,0,0,0,0,0,0
"lncRNA:CR45910",0,0,0,1,0,1,1,0
"lncRNA:CR45911",6,4,3,2,16,17,9,8
"lncRNA:CR45913",13,11,18,19,107,77,73,62
"lncRNA:CR45918",0,0,0,0,0,0,0,0
"lncRNA:CR45920",0,0,0,0,1,0,1,2
"lncRNA:CR45939",556,523,1138,586,2640,2793,3274,3424
"lncRNA:CR45956",0,0,0,0,0,0,0,0
"lncRNA:CR45962",8431,7429,15975,8150,19785,20114,24120,21683
"lncRNA:CR45965",190,173,372,187,350,368,483,433
"lncRNA:CR45971",0,0,0,0,0,0,0,0
"lncRNA:CR45996",0,0,0,0,0,0,0,0
"lncRNA:CR46003",5,5,8,2,3,5,2,5
"lncRNA:CR46016",0,0,0,0,0,0,0,0
"lncRNA:CR46028",0,0,0,0,0,0,0,0
"lncRNA:CR46084",0,1,0,0,0,1,0,1
"lncRNA:CR46143",0,0,2,0,0,0,3,0
"lncRNA:CR46194",343,514,649,584,1176,1184,1096,1175
"lncRNA:CR46206",0,0,0,1,1,0,0,0
"lncRNA:CR46208",0,0,7,2,18,20,21,31
"lncRNA:CR46214",1,5,4,3,13,23,9,9
"lncRNA:CR46233",0,0,0,0,0,0,0,0
"lncRNA:CR46247",0,0,0,0,0,0,0,0
"lncRNA:CR46250",7,4,2,2,31,27,2,9
"lncRNA:CR46259",4,1,14,5,25,28,23,22
"lncRNA:CR46260",0,0,0,0,0,0,0,0
"lncRNA:CR46322",2,1,2,1,3,9,2,5
"lncRNA:CR46348",0,0,0,0,0,0,0,0
"lncRNA:CR46445",0,0,0,1,1,2,2,0
"lncRNA:CR46451",0,0,1,0,0,0,0,0
"lncRNA:CR46475",8,6,15,5,71,64,39,54
"lncRNA:CR46480",52,43,74,55,106,129,133,138
"lncRNA:CR46482",389,372,755,386,965,1003,1409,1408
"lncRNA:CR46483",18,14,18,23,158,134,129,166
"lncRNA:CR46488",170,161,310,112,496,543,586,752
"lncRNA:CR46489",5904,5817,10574,6043,6514,6486,4749,4776
"lncRNA:CR46490",0,0,0,0,2,1,0,0
"lncRNA:CRG",78,65,165,82,169,173,232,227
"lncRNA:dntRL",0,3,4,1,11,10,12,5
"lncRNA:enrr",756,710,1470,747,2314,2409,2698,2890
"lncRNA:iab8",1,0,0,0,4,2,3,7
"lncRNA:noe",1,2,0,2,13,12,2,7
"lncRNA:roX1",4,5,4,3,3,5,10,12
"lncRNA:TS11",0,0,0,0,0,0,0,0
"lncRNA:TS9",0,0,0,0,1,0,0,0
"Lnpk",378,305,672,317,768,797,1039,1178
"lobo",0,0,0,0,1,0,1,2
"loco",1849,1867,3618,2030,3835,4099,4179,4501
"lola",6379,6000,12329,6356,19766,20579,24346,24440
"lolal",270,224,517,234,459,502,548,619
"Lon",284,242,525,338,879,990,1031,1122
"lov",12,16,30,13,67,66,165,139
"lovit",3313,3375,6245,3351,6755,6964,6064,6301
"Loxl1",113,104,192,107,211,201,203,240
"Loxl2",0,0,0,0,0,0,0,1
"LPCAT",452,397,920,457,1501,1561,1610,1560
"Lpin",1231,1162,2547,1178,3217,3462,4349,4557
"LpR1",18,30,64,30,279,235,261,243
"LpR2",1854,1613,3612,1664,3824,4188,5047,5256
"Lrch",2515,2177,4215,2223,6420,6437,6920,6786
"Lrpprc2",139,121,235,118,163,203,233,243
"LRR",1228,1123,2283,1059,2324,2652,3228,3444
"LS2",0,0,0,0,13,9,1,0
"Lsd-2",0,0,0,0,8,7,0,3
"LSm-4",113,98,188,99,552,622,612,630
"Lsm11",23,23,47,25,70,87,68,102
"Lst",8,14,16,7,16,8,19,14
"Lst8",139,95,253,135,222,276,323,358
"Ltn1",524,531,986,494,871,984,883,953
"LTV1",276,237,529,269,400,457,494,616
"LUBEL",30,41,62,38,62,61,44,37
"luna",4127,3809,7505,4195,11796,11488,13194,11825
"lush",7,9,11,6,21,26,63,56
"lva",504,496,935,514,733,877,706,846
"lwr",963,825,1829,985,1588,1528,1698,1666
"LysRS",323,298,649,309,658,737,602,624
"Lztr1",285,250,495,274,361,429,416,494
"m-cup",145,131,251,169,548,634,480,591
"M1BP",250,202,394,184,419,459,400,405
"mab-21",1737,2113,3227,1807,3269,3454,3400,3506
"mAChR-A",15,24,24,26,61,61,93,79
"mAChR-C",0,0,0,0,0,1,0,2
"Mad",1014,938,1751,971,2697,2840,3485,3487
"Mad1",192,166,314,155,303,265,336,363
"Maf1",3419,3822,6621,3600,11443,12169,11485,11836
"Magi",1795,1660,3353,1714,8113,8219,7721,7269
"mahe",395,366,754,423,991,1025,973,1127
"Mal-A1",0,0,0,0,0,1,0,0
"Mal-A3",0,0,0,0,0,0,0,1
"Mal-A7",0,0,0,0,0,0,0,0
"mamo",1651,1616,3102,1735,4449,4323,4490,4329
"Map205",1631,1651,3311,1764,3670,3502,3816,3986
"MAPk-Ak2",282,256,523,276,1035,1029,1017,1117
"Mapmodulin",655,551,1201,621,1145,1228,1202,1231
"mas",1,0,1,1,4,3,3,6
"Mat1",172,161,297,146,265,309,411,400
"Mat89Ba",507,430,994,465,772,759,671,708
"mav",17,17,30,24,226,254,456,423
"Max",90,98,240,106,384,364,336,384
"MBD-R2",461,429,853,446,1495,1665,1400,1571
"mbm",489,390,974,464,668,764,701,701
"mbo",199,164,382,172,452,461,425,421
"Mccc1",171,154,284,191,242,284,300,343
"Mco4",28,27,52,26,62,69,70,90
"MCPH1",727,644,1385,690,1096,1189,1487,1453
"Mcr",823,746,1491,804,2428,2680,2424,2560
"Mdh1",245,207,470,227,1034,1302,1388,1416
"Mdr49",55,63,113,49,538,612,853,955
"Mdr65",0,3,2,1,11,12,15,41
"MED1",517,475,1012,536,876,1015,1258,1347
"MED19",698,689,1376,673,1645,1828,1675,1756
"MED20",80,47,123,55,128,151,150,171
"MED21",110,117,180,109,355,354,314,311
"MED26",808,710,1646,780,1569,1617,1717,1814
"MED30",357,338,747,353,927,1027,1227,1378
"MED6",173,144,370,119,392,406,391,436
"Mef2",1246,1012,2299,1068,3413,3903,3810,4203
"mEFG1",256,245,501,264,515,504,424,409
"mEFTs",295,262,530,246,589,635,698,791
"mEFTu2",45,47,94,53,122,154,175,187
"mei-217",145,132,264,140,405,412,397,432
"mei-218",152,136,275,145,417,430,412,450
"mei-9",114,94,233,100,243,249,327,372
"Meics",209,184,366,179,553,640,682,857
"Mekk1",1460,1360,2796,1276,5541,6014,5134,5261
"Meltrin",3103,2340,5807,2599,10025,11517,9053,10404
"Men",1135,1137,1954,1070,4467,4782,3801,3972
"Menl-1",0,0,0,0,0,0,0,0
"Menl-2",0,0,0,0,0,0,0,0
"Mer",172,158,332,158,417,468,395,495
"meru",0,0,0,0,0,1,1,0
"mesh",1,1,3,1,4,6,6,4
"meso18E",288,295,556,313,768,827,726,782
"metl",177,169,302,151,291,295,368,359
"metro",0,0,0,0,9,6,14,7
"MetRS",688,590,1313,665,2791,2846,2619,2588
"MetRS-m",83,66,142,92,217,214,241,218
"mew",350,288,623,318,450,467,719,549
"mex1",55,57,120,62,219,207,159,159
"Mf",0,0,0,0,1,0,0,0
"mfas",656,660,1080,574,2509,2419,1735,1681
"mfr",2,0,6,1,6,5,3,9
"mfrn",806,693,1584,796,1487,1908,1916,2166
"MFS14",906,1025,1880,963,4650,5255,4704,5443
"MFS15",141,141,257,148,364,441,521,511
"MFS17",2999,2703,5413,3089,7883,8158,8540,7833
"MFS18",255,170,463,229,408,477,432,477
"MFS9",1,0,1,0,7,3,2,5
"Mgat1",236,180,389,232,488,572,615,599
"Mgat2",567,569,1109,636,1718,1967,2067,2160
"mge",280,255,528,254,401,485,402,390
"mgl",1821,1891,3727,1922,4483,4393,2144,2093
"mgr",358,355,688,349,712,851,637,724
"mh",81,73,149,55,163,234,238,251
"Mhcl",353,292,616,276,902,882,805,794
"Mi-2",3134,2720,6023,2951,6941,7512,7888,8074
"mia",86,86,147,78,209,193,314,289
"mib1",434,395,859,421,1331,1538,1467,1598
"Mical",1216,1204,2355,1223,5071,5496,3867,4246
"MICAL-like",403,384,709,402,780,850,830,826
"Mics1",53,31,103,33,104,155,100,118
"Mid1",225,229,464,263,1148,1329,1238,1150
"mIF2",65,42,142,52,119,138,145,158
"Miga",158,167,338,163,389,468,393,408
"mim",1366,1642,2735,1446,6758,7201,6028,6893
"Mip",1,0,1,2,1,3,1,0
"mip40",113,95,192,79,336,381,351,377
"Mipp1",12,12,15,18,78,72,96,85
"Mipp2",387,328,620,327,582,694,617,651
"mira",25,18,43,18,40,35,29,22
"Miro",185,221,410,221,447,588,543,646
"Mis12",30,28,76,34,94,111,109,104
"Mitofilin",320,277,557,286,475,564,594,610
"mkg-p",266,191,459,257,609,675,820,897
"Mkk4",354,305,607,338,795,848,643,759
"Mkp",175,150,332,184,426,445,517,609
"Mkp3",3011,2492,5650,2789,10374,10272,11066,10153
"Mkrn1",314,319,659,299,849,867,1176,1251
"Mks1",1,0,0,0,0,1,0,0
"Mlc-c",684,580,1378,681,1928,2186,1863,2120
"Mlc1",5,0,3,2,5,1,1,1
"Mlc2",30,24,55,24,68,90,79,114
"mle",411,351,776,399,835,875,1033,1095
"Mlf",773,707,1489,706,1471,1608,1528,1736
"Mlp84B",69,54,143,68,167,162,172,167
"mlt",94,137,204,82,791,832,630,730
"mmd",20,21,40,35,24,25,33,35
"Mmp1",857,949,1699,881,2744,2774,2896,3799
"Mmp2",1984,1524,2683,1624,5080,5373,6411,6510
"mmy",641,622,1297,639,1965,2099,1864,1931
"mnb",900,750,1726,814,1652,1607,1577,1607
"Mo25",217,183,435,220,361,381,493,536
"Mob2",1588,1487,2843,1569,5617,5609,5280,5142
"Mob4",302,251,496,231,424,456,511,551
"Mocs2A",198,175,406,183,550,653,631,708
"Mocs2B",198,175,406,183,550,653,631,708
"mod(mdg4)",3800,3522,6958,3878,7526,7456,8627,7817
"modSP",4,12,13,6,59,47,73,70
"Moe",2730,2442,5222,2784,8075,8017,6442,5869
"mof",199,179,412,207,286,338,319,383
"mol",105,94,180,87,756,849,507,585
"mon2",256,194,416,226,661,817,830,846
"Mondo",2323,2239,4220,2235,7027,7361,7179,7737
"moody",744,643,1298,733,2024,2221,2307,2322
"mop",449,388,857,441,846,898,834,988
"mor",543,457,972,464,842,856,945,923
"morgue",447,490,869,447,966,1073,1033,1123
"Mos",22,21,41,17,37,36,40,37
"Mpc1",139,106,280,126,284,297,225,236
"Mpcp1",2,1,1,1,2,4,5,2
"Mppe",116,88,188,91,214,262,290,301
"MRG15",198,165,377,166,334,400,429,428
"mrj",1172,965,2284,1102,3622,3965,3937,3979
"mrn",141,141,328,144,369,387,447,516
"mRNA-cap",212,182,366,172,315,315,341,365
"mRpL13",97,82,155,73,269,314,274,365
"mRpL15",76,79,156,86,143,146,128,189
"mRpL21",96,97,184,106,257,273,246,292
"mRpL24",51,47,111,56,115,122,101,119
"mRpL37",131,100,265,113,223,217,217,262
"mRpL39",226,192,396,190,460,537,527,614
"mRpL4",161,182,318,171,445,455,385,464
"mRpL44",98,77,196,91,177,218,211,219
"mRpL47",135,120,218,140,233,236,190,225
"mRpS29",149,145,298,146,321,377,388,387
"mRpS9",214,203,404,216,395,436,475,441
"mrt",443,446,849,470,2366,2730,2464,2593
"Mrtf",413,349,760,389,1158,1333,1458,1369
"mrva",406,386,748,375,1209,1360,1410,1553
"MSBP",127,129,289,155,753,808,767,750
"Msh6",397,302,685,328,510,508,616,590
"msl-1",839,767,1666,785,1385,1467,1669,1780
"msl-2",157,143,294,137,665,713,666,771
"msl-3",211,204,390,214,356,403,367,374
"msn",3000,2751,5784,3105,7669,7958,5735,5754
"mspo",170,170,323,183,1351,1309,573,519
"Msr-110",2828,2433,5648,2751,5419,5908,8322,8189
"Mst27D",3,5,8,7,14,10,3,1
"Mst33A",0,0,0,0,0,0,0,0
"Mst36Fa",40,32,66,31,88,89,136,122
"Mst36Fb",29,35,74,31,95,85,114,115
"Mst77F",0,0,1,0,0,0,0,2
"MstProx",0,0,0,0,0,0,0,0
"MTA1-like",648,560,1333,655,1828,1950,1854,1916
"mtd",1951,1789,3719,1892,6503,6992,5563,6072
"mtDNA-helicase",510,458,957,468,645,704,695,784
"mTerf3",131,115,228,91,279,302,288,348
"mTerf5",95,99,196,101,285,328,295,378
"mth",235,206,376,179,496,567,688,783
"mthl10",549,654,1192,511,695,784,1050,1255
"mthl15",0,1,1,0,3,3,11,7
"mthl3",918,899,1787,908,2611,2585,3214,3266
"mthl4",188,211,371,246,223,262,397,367
"mthl5",154,165,268,170,1873,2038,1313,1403
"mthl7",1,0,1,1,7,7,6,11
"mthl9",32,22,41,18,29,28,56,52
"mtm",195,157,363,169,373,447,347,380
"Mtp",146,146,281,180,620,720,739,779
"Mtpalpha",703,636,1307,680,1359,1450,1293,1498
"MTPAP",133,107,286,146,161,172,201,235
"Mtpbeta",492,396,916,441,639,749,752,867
"Mtr3",122,117,203,100,143,135,85,126
"mtRNApol",405,315,705,292,1000,1167,1021,1108
"mtsh",133,115,235,111,425,493,391,421
"mtSSB",174,128,320,144,416,401,466,451
"mtt",2,1,5,2,15,15,7,14
"mTTF",49,41,98,47,114,109,109,140
"mu2",119,91,228,96,189,211,231,222
"Muc30E",49,53,99,56,234,210,254,249
"Muc4B",5,5,7,2,12,9,38,18
"Muc55B",0,1,0,0,0,0,0,0
"Muc68Ca",78,86,135,80,187,107,135,100
"Muc68D",0,0,0,1,3,0,0,3
"Muc68E",0,0,0,0,0,0,0,0
"Muc91C",0,0,0,0,0,0,1,0
"Muc96D",34,27,58,41,42,44,49,46
"Mur2B",857,804,1627,832,2381,2702,3707,3791
"Mur89F",0,0,0,0,3,2,6,1
"mura",1092,934,2194,1042,4048,4683,3822,4133
"muskelin",126,98,226,89,186,196,235,282
"mute",621,516,1178,587,1205,1317,1340,1312
"mv",376,303,717,368,983,1134,1240,1361
"Mvb12",432,369,856,409,1060,1088,1090,1152
"Mvl",232,220,457,227,1155,1302,960,1020
"mxc",369,352,715,346,438,532,483,515
"mxt",288,292,553,272,976,1064,917,1015
"Myb",240,212,424,250,457,481,512,568
"Myd88",732,737,1409,806,1498,1600,1607,1717
"myo",228,223,464,225,861,875,1295,1374
"Myo31DF",2112,2016,3663,2089,5406,5664,5377,5412
"Myo95E",183,140,292,164,460,405,433,475
"Mys45A",362,270,710,314,450,447,547,565
"Myt1",279,241,612,255,511,529,556,625
"Naa20A",97,101,180,77,182,224,184,217
"Naa30B",0,0,0,0,1,0,0,0
"Naa35",185,166,400,187,371,490,559,601
"NAAT1",1,4,8,3,17,22,29,22
"nab",3,5,14,4,6,4,7,5
"Nab2",254,221,462,236,436,487,555,570
"nac",32,38,89,38,96,132,141,137
"Nacalpha",773,641,1457,722,1281,1474,1365,1335
"Nach",0,0,0,1,23,12,13,6
"nAChRalpha1",11,9,28,17,71,64,110,109
"nAChRalpha3",32,30,50,22,52,62,22,40
"nAChRalpha6",193,161,385,150,552,753,4167,3748
"nAChRalpha7",2,4,7,7,5,8,8,2
"nAChRbeta2",3,0,1,2,3,6,12,5
"Nadsyn",691,605,1351,666,2072,2160,2204,2314
"Nak",400,324,697,328,1304,1639,1506,1677
"nan",0,0,0,0,2,0,0,2
"Nap1",1038,1012,1925,986,1636,1841,1976,2120
"NaPi-T",32,24,59,27,85,85,101,89
"Naprt",257,274,469,255,1901,2178,1972,2079
"nau",857,645,1614,785,1161,1369,2914,3050
"Naxd",265,195,423,196,594,598,826,880
"Naxe",28,24,57,24,64,51,52,73
"naz",3,1,7,0,43,53,35,70
"Nbr",433,441,854,452,935,1152,1240,1214
"nbs",91,70,142,57,202,245,320,410
"Ncc69",672,621,1371,594,1400,1526,1650,1783
"ncd",1416,1269,2725,1348,1498,1252,2120,1578
"Nckx30C",83,69,174,98,372,377,131,160
"ncm",548,521,1058,489,730,750,931,969
"Ncoa6",1056,924,2008,1005,2121,2216,2054,2003
"ND-20",116,99,195,129,276,283,295,299
"ND-23",141,121,291,135,256,323,287,287
"ND-30",157,110,248,131,357,380,394,445
"ND-49",336,287,559,309,553,618,658,653
"ND-51",219,196,396,184,450,547,454,477
"ND-51L2",26,37,60,32,83,73,60,67
"ND-75",185,143,317,170,299,315,261,270
"ND-ASHI",52,50,122,57,168,180,235,313
"ND-B16.6",165,140,308,137,361,423,391,490
"ND-B17",95,125,213,111,282,264,299,316
"ND-SGDH",160,163,338,156,290,307,384,404
"Ndae1",872,896,1219,799,4314,4838,4044,4186
"Ndc80",111,94,187,99,135,148,155,152
"Ndfip",328,236,556,277,998,1097,1421,1469
"ndl",15,9,33,18,19,18,3,10
"nec",0,1,1,0,46,38,7,4
"nej",1326,1215,2534,1215,2732,3025,2901,3087
"Nek2",22,19,35,20,110,113,178,191
"NELF-B",135,113,225,126,270,330,333,340
"Nelf-E",63,70,123,56,193,199,215,242
"nemy",297,361,572,384,1789,1961,2979,3158
"Nep2",25,27,42,19,153,153,217,184
"Nep4",6,6,13,8,50,51,53,60
"Nep5",127,139,229,194,686,488,547,248
"Nepl11",7,6,4,9,15,14,9,12
"Nepl13",0,1,0,0,1,4,1,1
"Nepl14",2,2,2,0,4,24,9,27
"Nepl15",1,2,5,1,6,8,5,9
"Nepl16",13,12,18,16,38,48,80,71
"Nepl19",587,649,1103,597,1133,1324,880,996
"Nepl3",183,164,365,169,2230,2375,2082,1989
"Nepl6",2,1,4,4,39,67,8,14
"Nepl7",0,0,0,0,1,0,0,0
"Nepl9",55,52,109,58,448,523,282,334
"nero",510,443,922,486,779,917,1041,1168
"nes",371,310,768,366,914,974,1039,1084
"net",379,378,682,317,2641,2710,1264,1282
"NetA",400,279,625,354,830,1104,757,838
"NetB",464,430,843,384,1072,1156,1058,1091
"Neu2",9,8,18,8,30,22,19,19
"neur",581,560,1229,603,2379,2320,2735,2675
"Neurl4",258,230,473,243,500,547,593,646
"Nf-YA",268,220,492,236,427,465,438,473
"Nf-YC",317,234,590,282,577,684,843,915
"NfI",6,2,3,4,19,12,15,13
"Nha1",1,0,2,3,4,2,4,5
"Nha2",106,100,188,104,789,975,1050,1124
"Nhe1",197,154,357,185,454,498,481,609
"Nhe3",583,640,1130,564,1905,2219,1876,2094
"NijA",350,373,696,326,1313,1681,915,1112
"niki",1,0,2,1,5,8,9,8
"NimB2",15,15,31,10,41,54,65,67
"NimB4",5,6,10,6,16,23,17,23
"NimC1",0,1,0,1,11,23,7,19
"ninaE",0,2,2,1,1,0,2,1
"ninaG",1,1,0,1,1,10,9,10
"NiPp1",86,78,149,76,266,304,289,304
"Nipped-A",1885,1648,3722,1945,5856,5939,5025,5046
"Nipped-B",1207,1001,2403,1211,5823,6080,7576,7433
"Nipsnap",65,66,111,61,249,241,201,252
"NK7.1",1789,1580,3405,1664,6675,6879,5170,5158
"NKCC",1,1,2,0,13,6,7,8
"nkd",652,738,1363,649,3850,3719,4561,4452
"NLaz",106,138,207,98,658,690,763,816
"Nle",423,334,799,342,652,733,688,671
"Nlg3",8,6,11,3,27,14,29,30
"nmd",293,288,559,303,673,708,874,881
"Nmd3",242,206,443,193,257,300,333,386
"Nmda1",556,555,1040,613,1111,1364,1472,1687
"Nmdar1",8,7,21,7,66,91,20,29
"Nmdar2",6,12,11,5,26,28,44,38
"Nmdmc",2758,2502,4744,2734,7024,6834,5286,5411
"Nmt",258,240,478,264,382,507,471,524
"Nnf1a",59,51,110,54,146,121,162,132
"Nnp-1",391,329,748,356,498,582,481,541
"Noa36",254,193,417,231,373,451,406,502
"nocte",1049,895,1924,1009,1873,1862,1707,1919
"noi",275,229,462,219,472,519,528,557
"nompA",0,0,0,0,1,2,1,1
"nompB",16,8,10,8,25,20,20,16
"Non1",832,775,1628,873,1093,1143,1341,1326
"Nop17l",785,906,1571,981,1201,1262,1480,1737
"nop5",1648,1396,3032,1513,2057,2115,1927,1967
"Nop56",501,399,977,467,485,528,567,597
"Nos",191,176,349,167,386,377,665,616
"not",110,89,188,81,242,269,228,271
"Not1",1705,1352,3179,1427,3378,3672,4288,4648
"Not11",57,48,107,50,92,114,146,153
"Not3",846,739,1638,810,1438,1410,1560,1632
"Np",1,0,2,1,1,3,5,2
"Npc1a",375,361,613,340,2044,2084,2038,1956
"Nph",286,242,566,236,493,560,580,621
"Npl4",440,366,930,467,804,938,963,1164
"Nprl2",132,128,300,126,320,382,326,304
"Nprl3",248,210,440,233,623,680,793,856
"Nrd1",169,193,385,179,398,431,393,394
"nrv1",1735,1634,2930,1480,3542,3917,3665,3720
"nrv2",343,446,757,414,1150,1197,621,714
"Ns1",279,217,510,249,426,448,365,371
"Ns2",419,350,753,399,658,748,667,847
"Ns3",291,255,577,285,235,303,313,350
"NSD",594,536,1037,542,837,932,1045,991
"Nsf2",265,228,545,262,809,1063,1121,1258
"nst",215,143,377,147,472,539,447,517
"Nsun2",191,187,335,182,250,330,252,284
"Nsun5",359,386,728,395,792,819,898,765
"nSyb",19,11,29,21,31,35,38,51
"NT1",0,2,0,0,0,0,3,0
"Ntan1",1334,1523,2922,1479,5446,5929,5470,5965
"ntc",37,55,110,60,160,178,168,206
"NTPase",661,574,1140,595,4069,4211,5420,5534
"NUCB1",500,531,1022,548,678,797,1084,1280
"Nuf2",157,141,305,141,193,216,235,236
"Nufip",166,165,354,140,446,507,502,567
"Nup107",347,310,672,317,569,604,597,652
"Nup188",302,256,568,281,365,401,488,477
"Nup214",1144,930,2235,1062,1736,2000,2392,2652
"Nup54",246,192,435,193,314,354,406,353
"Nup75",335,303,660,311,479,454,651,658
"Nup93-2",257,191,427,204,459,481,477,495
"Nup98-96",989,935,1784,975,1911,1992,2289,2467
"Nurf-38",392,321,675,316,721,983,818,958
"nxf2",154,135,329,174,461,460,547,589
"O-fut2",157,118,344,153,308,435,560,557
"Oamb",5,12,19,15,73,68,123,146
"Oat",361,285,648,272,1347,2046,856,1552
"Oatp26F",20,17,43,14,65,44,70,67
"Oatp33Ea",4,5,19,10,105,103,39,41
"Oatp58Da",0,0,0,0,0,0,0,0
"Oatp58Db",0,0,1,1,1,3,0,0
"Oatp58Dc",0,0,0,0,1,3,5,4
"Obp19c",0,0,0,0,3,2,7,3
"Obp44a",6,7,23,6,112,123,176,219
"Obp56c",0,0,0,0,1,0,0,0
"Obp57d",3,6,7,3,19,23,21,16
"Obp83a",0,0,0,0,0,0,0,0
"Obp83ef",1,1,1,0,1,2,1,1
"Obp84a",1,0,0,0,3,1,0,0
"Obp99c",111,90,168,97,106,133,238,242
"obst-E",13,13,19,15,27,19,25,23
"obst-F",0,0,1,0,2,1,1,0
"obst-G",0,0,0,0,0,0,0,0
"obst-J",0,0,1,2,1,0,0,3
"oc",5,8,10,5,259,270,42,36
"Octalpha2R",1,1,4,2,47,45,27,32
"Octbeta2R",57,61,109,71,509,593,375,462
"Octbeta3R",0,0,0,0,1,3,1,0
"Oda",1709,1942,3087,2106,5161,5376,5441,5645
"odd",775,602,1021,680,849,852,857,991
"Odj",237,204,419,178,401,479,442,468
"ogre",66,103,158,83,144,195,301,377
"okr",69,67,145,78,141,201,271,277
"omd",1149,1002,2092,1071,2259,2415,2414,2536
"onecut",2,2,4,3,27,29,22,22
"Opa1",392,329,720,361,1103,1260,1038,1183
"opm",340,381,605,312,496,556,657,652
"Or10a",1,0,3,0,2,2,2,5
"Or19a",8,7,4,5,26,28,67,76
"Or24a",0,0,0,0,0,0,0,0
"Or35a",0,0,0,0,0,0,0,0
"Or42a",2,0,1,0,1,8,8,8
"Or42b",2,1,4,3,4,4,5,8
"Or43a",0,1,1,2,3,5,2,0
"Or43b",39,41,84,55,118,128,162,152
"Or47b",0,0,1,0,0,0,0,0
"Or56a",0,0,0,0,0,0,0,0
"Or59a",0,0,0,0,0,0,0,0
"Or59b",0,0,0,0,0,0,0,0
"Or59c",0,0,0,1,0,0,0,0
"Or67b",37,33,64,36,109,110,119,126
"Or67c",0,0,0,0,0,0,0,0
"Or69a",0,0,0,0,0,0,0,0
