source,term,term_id,padj,term_size,intersection_size,query_size,ratio,-log10(padj)
GO:MF,brain-derived neurotrophic factor receptor activity,GO:0060175,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,fibroblast growth factor receptor activity,GO:0005007,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,insulin-like growth factor receptor activity,GO:0005010,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,collagen receptor activity,GO:0038064,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,placental growth factor receptor activity,GO:0036332,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,protein tyrosine kinase collagen receptor activity,GO:0038062,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,protein-hormone receptor activity,GO:0016500,0.017055266588152533,29,8,818,0.009779951100244499,1.768141487815732
GO:MF,stem cell factor receptor activity,GO:0005020,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,platelet-derived growth factor beta-receptor activity,GO:0005019,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,boss receptor activity,GO:0008288,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,platelet-derived growth factor receptor activity,GO:0005017,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,platelet-derived growth factor alpha-receptor activity,GO:0005018,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,macrophage colony-stimulating factor receptor activity,GO:0005011,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,hydrolase activity,GO:0016787,0.017055266588152533,1828,158,818,0.19315403422982885,1.768141487815732
GO:MF,ephrin receptor activity,GO:0005003,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,GPI-linked ephrin receptor activity,GO:0005004,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,transmembrane-ephrin receptor activity,GO:0005005,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,octopamine receptor activity,GO:0004989,0.017055266588152533,7,4,818,0.004889975550122249,1.768141487815732
GO:MF,carbohydrate transmembrane transporter activity,GO:0015144,0.017055266588152533,38,9,818,0.011002444987775062,1.768141487815732
GO:MF,transmembrane receptor protein kinase activity,GO:0019199,0.017055266588152533,30,8,818,0.009779951100244499,1.768141487815732
GO:MF,metal ion binding,GO:0046872,0.017055266588152533,2095,179,818,0.21882640586797067,1.768141487815732
GO:MF,molecular transducer activity,GO:0060089,0.01831245708129886,441,48,818,0.05867970660146699,1.7372533801517493
GO:MF,signaling receptor activity,GO:0038023,0.01831245708129886,441,48,818,0.05867970660146699,1.7372533801517493
GO:MF,secondary active transmembrane transporter activity,GO:0015291,0.01931900834390289,127,19,818,0.023227383863080684,1.7140151699404025
KEGG,Cysteine and methionine metabolism,KEGG:00270,0.01949597138858504,37,8,249,0.0321285140562249,1.710055121174007
KEGG,Fatty acid metabolism,KEGG:01212,0.01949597138858504,54,10,249,0.040160642570281124,1.710055121174007
GO:BP,L-alpha-amino acid transmembrane transport,GO:1902475,0.020705974961728824,39,10,777,0.01287001287001287,1.6839043154861553
